Predicted,Actual
83.64075,87.9
84.80443,87.62
85.913124,87.17
86.76432,86.99
87.21609,87.44
87.26458,87.63
86.99629,87.25
86.50898,87.54
85.93549,87.52
85.39135,87.33
84.94927,86.63
84.61039,87.67
84.435524,85.91
84.345,84.58
84.204506,85.69
84.02881,87.52
83.97256,88.27
84.16998,89.11
84.69306,89.64
85.51823,89.72
86.5205,89.34
87.498505,88.82
88.24336,91.56
88.81272,93.85
89.40177,93.78
90.07402,91.41
90.6211,91.24
90.87555,85.95
90.44481,86.78
89.34273,87.28
87.84269,85.96
86.20021,85.7
84.659225,84.22
83.33681,86.88
82.47505,89.58
82.34976,86.69
82.84889,88.23
83.831795,85.43
84.904755,87.98
85.90802,90.23
86.87474,89.62
87.756546,89.15
88.4465,86.47
88.69534,87.54
88.488945,89.4
88.04473,87.19
87.42485,82.6
86.44125,82.64
85.106895,79.74
83.42892,75.93
81.38345,72.62
78.98808,77.79
76.68774,79.57
74.940285,78.51
73.97042,78.85
73.837944,75.74
74.28928,71.84
74.83157,74.23
75.231316,75.7
75.47602,68.99
75.295296,70.63
74.675446,67.76
73.61422,65.4
72.139244,63.07
70.311295,60.65
68.21217,64.53
66.148315,61.08
64.2715,65.49
62.840446,65.39
62.015083,63.51
61.76492,65.99
62.05974,66.67
62.82315,68.77
63.993355,64.5
65.25243,65.36
66.33059,67.16
67.130936,67.97
67.6697,73.09
68.20687,73.13
68.91147,74.05
69.84493,71.16
70.79675,74.42
71.69869,75.28
72.525734,76.27
73.289,76.73
73.98907,74.44
74.47893,72.75
74.58557,73.22
74.29069,74.42
73.747055,73.35
73.07892,76.0
72.52983,76.52
72.28504,76.58
72.41439,79.65
73.03274,76.26
73.938545,74.58
74.797516,76.16
75.44881,78.2
75.9385,79.09
76.37322,79.09
76.812164,79.67
77.28741,80.67
77.8321,78.25
78.28674,76.9
78.45834,74.1
78.13462,76.68
77.43827,79.14
76.69445,79.35
76.16575,78.86
75.95846,77.66
76.00636,79.57
76.3048,77.67
76.70046,79.62
77.159485,78.1
77.56524,79.28
77.89753,79.32
78.15614,84.95
78.64076,83.95
79.44107,88.0
80.71144,89.0
82.44354,90.23
84.49415,90.25
86.56386,88.62
88.21574,86.25
89.01658,83.67
88.706665,89.9
87.796585,90.68
86.81625,89.85
86.06465,89.87
85.67437,88.72
85.58226,90.14
85.77488,89.17
86.13358,88.7
86.514946,89.07
86.84851,88.21
87.05128,89.2
87.16371,91.01
87.348274,91.09
87.68768,93.21
88.30489,92.97
89.1574,93.27
90.12256,93.95
91.07833,93.0
91.82818,93.3
92.270584,90.86
92.22389,92.93
91.82887,91.26
91.16093,91.68
90.378746,92.19
89.66999,93.55
89.251495,92.74
89.16022,92.91
89.35951,89.21
89.517975,90.02
89.49805,92.17
89.42482,92.08
89.40637,102.42
90.17538,105.66
92.22187,107.4
95.5329,109.49
99.66023,111.0
103.88091,111.23
