Predicted,Actual
128.78027,129.89
128.84456,130.08
128.9999,129.44
129.21426,129.7
129.45374,129.61
129.68454,130.85
129.91255,130.88
130.14496,130.72
130.3761,130.11
130.57724,130.13
130.72392,130.33
130.80962,127.75
130.77258,130.13
130.64034,128.75
130.42783,128.61
130.1545,128.87
129.85385,129.66
129.58029,130.85
129.40562,132.06
129.40294,130.6
129.56116,131.37
129.85112,131.1
130.21936,132.37
130.64131,131.62
131.07063,132.84
131.49457,138.15
132.0453,139.0
132.83214,138.22
133.84668,133.51
134.86115,134.47
135.68536,134.15
136.20128,131.83
136.31523,137.75
136.19112,139.05
136.04674,142.45
136.1325,144.79
136.64955,151.17
137.84584,150.53
139.74844,148.99
142.11725,151.09
144.66936,149.75
147.05215,150.36
149.00276,150.41
150.37764,145.9
150.99107,147.6
150.88948,146.89
150.2191,147.11
149.19283,141.73
147.85735,142.7
146.33397,139.19
144.6737,133.67
142.81622,126.6
140.61426,127.35
138.10333,130.99
135.5278,128.16
133.08655,127.11
130.92015,123.41
129.04665,117.04
127.32847,119.59
125.720085,117.87
124.20396,106.8
122.587975,105.86
120.74436,95.45
118.50129,98.0
115.8722,96.83
112.97834,99.67
110.03404,98.3
107.235275,92.14
104.65507,97.39
102.389946,102.74
100.593124,104.13
99.40098,105.76
98.898476,105.28
99.07252,109.09
99.88239,103.6
101.12611,102.63
102.528404,106.09
103.90291,107.48
105.15634,115.71
106.39707,113.29
107.68721,117.35
109.10438,118.47
110.68485,120.25
112.4261,116.02
114.16446,115.92
115.70673,116.2
116.91504,116.05
117.723305,111.04
118.031166,116.75
117.93859,116.46
117.593735,119.23
117.19424,122.3
116.95627,124.7
117.066505,125.53
117.62202,123.23
118.55034,119.99
119.621315,117.68
120.5532,120.18
121.20995,120.04
121.557236,121.39
121.65872,121.08
121.59751,120.24
121.43281,121.42
121.23801,118.4
121.00439,113.09
120.6048,114.43
119.98928,118.33
119.26057,119.62
118.57558,119.37
118.055595,119.43
117.765724,117.83
117.68243,119.73
117.7877,122.34
118.10511,125.23
118.69809,122.07
119.50438,123.03
120.43141,124.05
121.39955,125.51
122.3683,126.13
123.31334,132.16
124.35278,130.56
125.51848,131.79
126.79751,130.44
128.08449,124.4
129.09467,119.68
129.50702,117.65
129.1476,123.38
128.18611,124.2
126.907394,121.41
125.51751,124.54
124.240326,120.54
123.14913,120.43
122.25806,116.79
121.48225,115.25
120.71847,116.73
